customer_id,first_name,last_name,email,gender,age,city,state,country,purchase_count,total_spend,avg_order_value,last_purchase_date
1001,Sophia,Smith,sophia.smith@example.com,M,54,San Antonio,TX,USA,5,965,193.0,2023-09-12 15:28:32.140488
1002,Joseph,Smith,joseph.smith@example.com,M,66,Los Angeles,CA,USA,7,1246,178.0,2023-08-25 15:28:32.140488
1003,John,Anderson,john.anderson@example.com,F,56,Phoenix,AZ,USA,1,199,199.0,2024-04-28 15:28:32.140488
1004,Emma,Hernandez,emma.hernandez@example.com,M,44,Los Angeles,CA,USA,14,3752,268.0,2024-01-01 15:28:32.140488
1005,Emily,Garcia,emily.garcia@example.com,F,25,Dallas,TX,USA,12,1620,135.0,2023-12-09 15:28:32.140488
1006,Ava,Taylor,ava.taylor@example.com,F,69,San Jose,CA,USA,14,1792,128.0,2024-03-13 15:28:32.140488
1007,Jane,Martinez,jane.martinez@example.com,F,63,New York,NY,USA,3,804,268.0,2024-03-27 15:28:32.140488
1008,Daniel,Jackson,daniel.jackson@example.com,F,24,Phoenix,AZ,USA,8,864,108.0,2023-10-26 15:28:32.140488
1009,David,Davis,david.davis@example.com,F,59,Phoenix,AZ,USA,14,3304,236.0,2024-08-17 15:28:32.140488
1010,Emily,Rodriguez,emily.rodriguez@example.com,M,31,San Diego,CA,USA,4,396,99.0,2023-10-11 15:28:32.140488
1011,Mia,Taylor,mia.taylor@example.com,F,24,Houston,TX,USA,15,1020,68.0,2024-06-17 15:28:32.140488
1012,Michael,Martinez,michael.martinez@example.com,M,54,San Diego,CA,USA,4,1196,299.0,2024-03-28 15:28:32.140488
1013,Sophia,Thomas,sophia.thomas@example.com,F,29,New York,NY,USA,15,4440,296.0,2024-05-28 15:28:32.140488
1014,Emma,Martinez,emma.martinez@example.com,F,45,Phoenix,AZ,USA,15,2190,146.0,2024-06-16 15:28:32.140488
1015,James,Rodriguez,james.rodriguez@example.com,F,53,San Jose,CA,USA,14,1498,107.0,2024-08-01 15:28:32.140488
1016,Emily,Lopez,emily.lopez@example.com,M,64,San Jose,CA,USA,12,1152,96.0,2023-11-09 15:28:32.140488
1017,Joseph,Johnson,joseph.johnson@example.com,M,63,San Jose,CA,USA,5,490,98.0,2024-03-12 15:28:32.140488
1018,David,Hernandez,david.hernandez@example.com,M,33,Dallas,TX,USA,3,405,135.0,2024-03-09 15:28:32.140488
1019,Jane,Moore,jane.moore@example.com,M,43,San Diego,CA,USA,10,1710,171.0,2023-12-06 15:28:32.140488
1020,Abigail,Jones,abigail.jones@example.com,F,19,Houston,TX,USA,1,262,262.0,2023-11-15 15:28:32.140488
1021,Michael,Martin,michael.martin@example.com,F,38,New York,NY,USA,4,584,146.0,2023-12-19 15:28:32.140488
1022,Sophia,Martin,sophia.martin@example.com,F,69,Houston,TX,USA,6,942,157.0,2024-03-15 15:28:32.140488
1023,Isabella,Brown,isabella.brown@example.com,M,48,Philadelphia,PA,USA,2,380,190.0,2023-09-14 15:28:32.140488
1024,Charlotte,Rodriguez,charlotte.rodriguez@example.com,M,43,Chicago,IL,USA,6,1716,286.0,2024-07-19 15:28:32.140488
